small_area,total_value_mGBP
E01001240,-0.024417539
E01001241,2.239327229
E01001242,2.133205815
E01001243,0.327894048
E01001244,0.69393063
E01001245,2.420151154
E01001246,0.493951973
E01001247,2.490387143
E01001248,4.717636335
E01001249,0.15248756
E01001250,1.347708798
E01001251,3.857869624
E01001252,3.411084681
E01001253,3.245179425
E01001254,3.774619807
E01001255,3.800275621
E01001257,1.74978063
E01001258,2.607923908
E01001259,2.274155242
E01001260,2.863867895
E01001261,2.622361801
E01001262,1.992437778
E01001263,1.772771522
E01001264,2.523512418
E01001265,2.73474191
E01001266,4.35959817
E01001267,2.483774318
E01001268,3.803985516
E01001269,3.833647106
E01001270,3.14801702
E01001271,3.051985684
E01001272,3.267477509
E01001273,7.100328799
E01001274,4.609539996
E01001275,0.887503764
E01001276,2.171805391
E01001277,3.047715105
E01001278,3.221042707
E01001279,11.92077872
E01001280,2.145780957
E01001281,11.02515532
E01001282,1.931531322
E01001283,1.285794089
E01001284,2.549455161
E01001285,2.032781648
E01001286,1.856179516
E01001287,1.335545113
E01001288,1.932724592
E01001289,1.531423334
E01001290,2.466148903
E01001291,3.061540404
E01001292,3.130576256
E01001293,3.073101924
E01001294,4.702456408
E01001295,3.404596026
E01001296,3.009489312
E01001297,3.170128175
E01001298,4.240314062
E01001299,7.56548563
E01001300,3.022957411
E01001301,0.573088281
E01001302,2.643427901
E01001303,4.896884738
E01001304,2.493400808
E01001305,5.187221157
E01001306,3.9715734
E01001307,4.322141466
E01001308,5.152080564
E01001309,3.820468641
E01001310,3.648931742
